study_id,title,authors,year,source_database,doi_or_url,duplicate_of,ta_decision,ta_exclude_reason,ft_decision,ft_exclude_reason,final_included,included_objective1,included_objective2,pi_verified,pi_agree,notes
GameBasedITSMotivation2013,"Motivation and Performance in a Game-Based Intelligent Tutoring System","Jackson, G.T. & McNamara, D.S. (verify at full-text)",2013,open_web/ResearchGate,https://www.researchgate.net/publication/263921977_Motivation_and_Performance_in_a_Game-Based_Intelligent_Tutoring_System,,include,,,,,candidate,candidate,,,"84 HS students, iSTART vs iSTART-ME (game-based), 8 sessions. Dual outcome: task performance (Obj1) + enjoyment/motivation (Obj2). Obj3 moderators: gamification as design mechanism."
AIInterfaceDesignEngagement2020,"AI-Driven Interface Design for Intelligent Tutoring System Improves Student Engagement","Not yet confirmed (verify at full-text)",2020,open_web/arXiv,https://arxiv.org/pdf/2009.08976,,include,,,,,,candidate,,,"A/B test, >20,000 students, engagement +25.13%. Obj3 moderators: interface/adaptivity design features."
ITSMLLearnerChoice2024,"Improved Performances and Motivation in Intelligent Tutoring Systems: Combining Machine Learning and Learner Choice","Not yet confirmed (verify at full-text)",2024,open_web/arXiv,https://arxiv.org/abs/2402.01669,,include,,,,,candidate,candidate,,,"Dual outcome: performance (Obj1) + motivation (Obj2). Obj3 moderators: learner choice/autonomy as design mechanism, ML-adaptivity level."
ChatGPTWritingEngagementIntervention2023,"ChatGPT to Foster Students' Engagement in Writing Class: An Intervention Study","Not yet confirmed (verify at full-text)",2023,open_web/Academia.edu,https://www.academia.edu/126667970/ChatGPT_to_Foster_Students_Engagement_in_Writing_Class_An_Intervention_Study,,include,,,,,,candidate,,,"Explicitly an 'Intervention Study'; subject=writing/EFL."
AffectiveFeedbackAdaptiveLearningSDL2022,"The Influence of Affective Feedback Adaptive Learning System on Learning Engagement and Self-Directed Learning","Not yet confirmed (verify at full-text)",2022,open_web/Frontiers,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.858411/full,,include,,,,,,candidate,,,"Quasi-exp; measures achievement, learning anxiety, engagement, self-directed learning (dual-outcome flag for Obj1+Obj2). Mirrored on PMC - see _dup row."
AffectiveFeedbackAdaptiveLearningSDL2022_dup,"The Influence of Affective Feedback Adaptive Learning System on Learning Engagement and Self-Directed Learning","Not yet confirmed (verify at full-text)",2022,open_web/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC9094679/,AffectiveFeedbackAdaptiveLearningSDL2022,,,,,,,,,,"Duplicate mirror on PMC."
AdaptiveELearningStylesEngagement2021,"Adaptive e-learning environment based on learning styles and its impact on development students' engagement","Not yet confirmed (verify at full-text)",2021,open_web/Springer(IJETHE),https://link.springer.com/article/10.1186/s41239-021-00289-4,,include,,,,,,candidate,,,"Quasi-exp pretest-posttest, experimental vs conventional e-learning group."
AdaptiveTeachingLastingLearning2025,"Adaptive teaching with technology enhances lasting learning","Not yet confirmed (verify at full-text)",2025,open_web/ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0959475225000659,,include,,,,,candidate,,,,"Quasi-exp field study, N=656, pre-post-delayed test design."
AIvaluateAnxiety2026,"Exploring student anxiety and experience in performance-based assessments using AIvaluate: an LLM-augmented emotionally intelligent pedagogical AI conversational agent","Not yet confirmed (verify at full-text)",2026,open_web/Springer(ETRD),https://link.springer.com/article/10.1007/s11423-026-10634-x,,include,,,,,,candidate,,,"Obj3 moderators: emotional-intelligence design feature as mechanism."
CallAnnieChatbotEmotionalEngagement,"Exploring the Effects of an AI Chatbot on Emotional Engagement in English Speaking Lessons: Insights from Call Annie","Not yet confirmed (verify at full-text)",2025,open_web/ResearchGate,https://www.researchgate.net/publication/393693048_Exploring_the_Effects_of_an_AI_Chatbot_on_Emotional_Engagement_in_English_Speaking_Lessons_Insights_from_Call_Annie,,include,,,,,,candidate,,,"Subject=EFL speaking."
EFLChatbotSpeakingAnxiety2024,"The impact of different conversational generative AI chatbots on EFL learners: An analysis of willingness to communicate, foreign language speaking anxiety, and self-perceived communicative competence","Not yet confirmed (verify at full-text)",2024,open_web/ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0346251X24003154,,include,,,,,,candidate,,,"Verify at full-text whether comparator is non-AI control or only cross-chatbot comparison (may affect PICOS eligibility, E3 risk)."
AIConversationBotsL2SpeakingAnxiety2025,"Investigating the role of AI-powered conversation bots in enhancing L2 speaking skills and reducing speaking anxiety: a mixed methods study","Not yet confirmed (verify at full-text)",2025,open_web/Nature,https://www.nature.com/articles/s41599-025-05550-z,,include,,,,,candidate,candidate,,,"Dual outcome: speaking skills (Obj1) + anxiety (Obj2)."
NORCHighDoseTutoring2024,"The Transformative Power of AI-Enhanced High-Dose Tutoring","Not yet confirmed (verify at full-text)",2024,open_web/NORC,https://www.norc.org/research/library/unlocking-hearts-and-minds-transformative-power-of-ai-enhanced-high-dose-tutoring.html,,unsure,,,,,pending,,,,"Research report, not confirmed peer-reviewed article; need to verify comparator/control group and effect-size statistics at full-text."
LLMPersonalizeScienceTexts2024,"Evaluating the capability of large language models to personalize science texts for diverse middle-school-age learners","Not yet confirmed (verify at full-text)",2024,open_web/arXiv,https://arxiv.org/pdf/2408.05204,,unsure,,,,,pending,,,,"Unclear if study includes a comparison/control condition with outcome measurement, or is primarily an LLM-capability evaluation."
AdaptiveLearningK12Assessment2024,"Assessing the Effectiveness of Adaptive Learning Systems in K-12 Education","Not yet confirmed (verify at full-text)",2024,open_web/ResearchGate,https://www.researchgate.net/publication/382169670_Assessing_the_Effectiveness_of_Adaptive_Learning_Systems_in_K-12_Education,,unsure,,,,,pending,,,,"Title suggests primary study; abstract not accessible via search snippet to confirm design."
GenAIInteractionOutputQuality2025,"Impact of generative AI interaction and output quality on university students' learning outcomes: a technology-mediated and motivation-driven approach","Not yet confirmed (verify at full-text)",2025,open_web/Nature(SciReports),https://www.nature.com/articles/s41598-025-08697-6,,unsure,,,,,pending,,,,"323 Chinese university students; may be a correlational/path-model survey rather than an experiment with a control group - verify design at full-text (risk of E5)."
ChatGPTAcademicAchievementTandF2025,"Can ChatGPT as a generative AI tool enhance university student academic achievement?","Not yet confirmed (verify at full-text)",2025,open_web/Taylor&Francis,https://www.tandfonline.com/doi/full/10.1080/14703297.2025.2605651,,unsure,,,,,pending,,,,"Verify experimental/quasi-experimental design and control group at full-text."
AIvaluateIJAILE,"AIvaluate-related article","Not yet confirmed (verify at full-text)",,open_web/IJAILE,https://ijaile.org/index.php/ijaile/article/download/34/21,,unsure,,,,,pending,,,,"Title/authors/year unclear from snippet alone; retrieve full text to classify."
ChatGPT5SecondaryEdMixedMethods2025,"ChatGPT-5 in Secondary Education: A Mixed-Methods Analysis of Student Attitudes, AI Anxiety, and Hallucination-Aware Use","Not yet confirmed (verify at full-text)",2025,open_web/arXiv,https://arxiv.org/pdf/2512.04109,,unsure,,,,,pending,,,,"Mixed-methods; verify whether a non-AI control/comparison group exists (may be single-group pre-post, risk of E5)."
OneYearChatGPTClassroom2025,"One year in the classroom with ChatGPT: empirical insights and transformative impacts","Not yet confirmed (verify at full-text)",2025,open_web/Frontiers,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2025.1574477/full,,unsure,,,,,pending,,,,"Case-study framing suggests possible lack of control group - verify design."
ExaminingImpactsChatGPTMotivationEngagement2023,"Examining the Impacts of ChatGPT on Student Motivation and Engagement","Not yet confirmed (verify at full-text)",2023,open_web/ResearchGate,https://www.researchgate.net/publication/372689689_Examining_the_Impacts_of_ChatGPT_on_Student_Motivation_and_Engagement,,unsure,,,,,pending,,,,"Verify design at full-text."
ConversationalTutoringAgentMath2025,"One Size doesn't Fit All: A Personalized Conversational Tutoring Agent for Mathematics Instruction","Not yet confirmed (verify at full-text)",2025,open_web/arXiv,https://arxiv.org/pdf/2502.12633,,unsure,,,,,pending,,,,"System paper with possible user study; verify presence of control condition."
MLApproachEngagementOnline2021,"A new ML-based approach to enhance student engagement in online environment","Not yet confirmed (verify at full-text)",2021,open_web/PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8580220/,,unsure,,,,,pending,,,,"Verify design at full-text."
MotivationalDesignTaskSelection2015,"Motivational Design in an Intelligent Tutoring System that Helps Students Make Good Task Selection Decisions","Not yet confirmed (verify at full-text)",2015,open_web/Springer,https://link.springer.com/chapter/10.1007/978-3-319-19773-9_23,,unsure,,,,,pending,,,,"Book chapter; verify empirical design at full-text."
UsingITSEnhanceEngagement2025,"Using Intelligent Tutoring Systems to Enhance Student Engagement","Not yet confirmed (verify at full-text)",2025,open_web/ResearchGate,https://www.researchgate.net/publication/392659841_Using_Intelligent_Tutoring_Systems_to_Enhance_Student_Engagement,,unsure,,,,,pending,,,,"Verify whether primary study or narrative/review piece at full-text."
AdaptiveResponsiveHomeworkMotivation2020,"Examining Students' Perceptions About an Adaptive-Responsive Online Homework System and its Influence on Motivation and Learning","Not yet confirmed (verify at full-text)",2020,open_web/ResearchGate,https://www.researchgate.net/publication/344313174_Examining_Students'_Perceptions_About_an_Adaptive-Responsive_Online_Homework_System_and_its_Influence_on_Motivation_and_Learning,,unsure,,,,,pending,,,,"'Perceptions' framing suggests possible survey-only design without control group - verify (risk of E5)."
AdaptiveLearningClassroomStrategies2025,"Adaptive learning oriented higher educational classroom teaching strategies","Not yet confirmed (verify at full-text)",2025,open_web/Nature(SciReports),https://www.nature.com/articles/s41598-025-00536-y,,unsure,,,,,pending,,,,"Verify design at full-text."
ERD_ComparativeEffectivenessCognitiveTutor,"Comparative Effectiveness of Carnegie Learning's Cognitive Tutor","Not yet confirmed (verify at full-text)",,open_web/ERIC,https://files.eric.ed.gov/fulltext/ED616574.pdf,,unsure,,,,,pending,,,,"Possible companion/distinct report to PaneCognitiveTutorAlgebra2014 - verify whether same sample (risk of E7 if duplicate) or a distinct comparative-effectiveness study."
StudentLogDataCausalCaseStudy2018,"Student Log-Data from a Randomized Evaluation of Educational Technology: A Causal Case Study","Not yet confirmed (verify at full-text)",2018,open_web/arXiv,https://arxiv.org/pdf/1808.02528,,unsure,,,,,pending,,,,"Verify whether this reports the same randomized sample as PaneCognitiveTutorAlgebra2014 or an independent RCT (risk of E7 if duplicate sample)."
IntelligentTutorsAdultLearnersNeeds2024,"Intelligent Tutors for Adult Learners: An Analysis of Needs and Challenges","Not yet confirmed",2024,open_web/arXiv,https://arxiv.org/html/2412.04477,,exclude,E5,,,,,,,,"Needs/challenges analysis, not an empirical comparative study."
RuffleRileyConvTutoring2023,"Ruffle&Riley: Towards the Automated Induction of Conversational Tutoring Systems","Not yet confirmed",2023,open_web/arXiv,https://arxiv.org/pdf/2310.01420,,exclude,E5,,,,,,,,"System-development paper, no comparative outcome experiment reported in abstract."
DeepTutorIESAward,"DeepTutor: An Intelligent Tutoring System Based on Deep Language and Discourse Processing and Advanced Tutoring Strategies","N/A (IES award listing)",,open_web/IES,https://ies.ed.gov/use-work/awards/deeptutor-intelligent-tutoring-system-based-deep-language-and-discourse-processing-and-advanced,,exclude,E5,,,,,,,,"Grant/award description page, not a study report."
SimulationSummitAbstracts2021,"Selected abstracts from the 2021 simulation summit: Virtual. 04-05 November 2021","Multiple authors",2021,open_web/PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8558541/,,exclude,E5,,,,,,,,"Abstract collection, not a single identifiable study."
AITutoringSimTrainingCT2020,"Effectiveness of an Artificial Intelligent Tutoring System in Simulation Training","N/A (trial registry)",2020,open_web/ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04700384,,exclude,E1,,,,,,,,"Clinical/simulation training population, not formal PK-16 education context."
IssuesInInfoSystems2025Unclear,"Issues in Information Systems, Volume 26, Issue 4, pp. 233-247, 2025 (title unclear from snippet)","Unclear",2025,open_web,https://iacis.org/iis/2025/4_iis_2025_233-247.pdf,,exclude,E10,,,,,,,,"Could not identify a specific study title/scope from search snippet alone."
LongitudinalAIAdaptiveBlog,"The Longitudinal Impact of AI-Driven Adaptive Learning Systems","N/A (blog/marketing site)",,open_web,https://elqn.org/impact-of-ai-driven-adaptive-learning-systems/,,exclude,E10,,,,,,,,"Non-academic blog/marketing content; cites unverifiable study claims (e.g., '18,000 students, 5 years') without a retrievable primary source."
DecodingChatGPTSatisfactionML2025,"Decoding ChatGPT's impact on student satisfaction and performance: a multimodal machine learning and explainable AI approach","Not yet confirmed",2025,open_web/OAE Publishing,https://www.oaepublish.com/articles/ces.2025.07,,exclude,E5,,,,,,,,"Methodological/ML-explainability paper, not an intervention experiment with a control group."
PerceivedImpactAIAcademicLearning2025,"The perceived impact of artificial intelligence on academic learning","Not yet confirmed",2025,open_web/PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12531233/,,exclude,E5,,,,,,,,"Perception/survey study, no control group evident."
SelfRegulatedGenAIITS2026,"Investigating Self-regulated Learning Sequences within a Generative AI-based Intelligent Tutoring System","Not yet confirmed",2026,open_web/arXiv,https://arxiv.org/pdf/2601.17000,,exclude,E5,,,,,,,,"Descriptive/sequence-mining case study, no comparison group evident in abstract."
HarmfulHelpfulGenAIUsage2024,"Is it harmful or helpful? Examining the causes and consequences of generative AI usage among university students","Not yet confirmed",2024,open_web/Springer,https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-024-00444-7,,exclude,E5,,,,,,,,"Correlational/survey study, not an experimental comparison."
IntegratingGenAICognitiveSystemsEUAct2026,"Integrating Generative AI-enhanced Cognitive Systems in Higher Education: From Stakeholder Perceptions to a Conceptual Framework considering the EU AI Act","Not yet confirmed",2026,open_web/arXiv,https://arxiv.org/pdf/2602.10802,,exclude,E4,,,,,,,,"Conceptual framework/policy paper, no empirical learning outcome reported."
FutureEdAIAutomatedAssessmentBlog,"The Future of Education and AI: Automated Assessment and Feedback","N/A (blog)",,open_web,https://www.analytikus.com/post/the-future-of-education-and-ai-automated-assessment-and-feedback,,exclude,E10,,,,,,,,"Non-academic blog/marketing content."
ImplementationConsiderationsAIGrading2025,"Implementation Considerations for Automated AI Grading of Student Work","Not yet confirmed",2025,open_web/arXiv,https://arxiv.org/pdf/2506.07955,,exclude,E5,,,,,,,,"Implementation-considerations/guidance paper, not an outcome experiment."
AIFeedbackForStudentsVendor,"AI Feedback for Students","N/A (vendor product page)",,open_web,https://www.educationperfect.com/ai/,,exclude,E10,,,,,,,,"Commercial vendor page, not a research study."
AIPoweredFeedbackGradingGuideLearnWise,"AI-Powered Feedback and Grading in Higher Education","N/A (vendor guide)",,open_web,https://www.learnwise.ai/guides/ai-powered-feedback-and-grading-in-higher-education,,exclude,E10,,,,,,,,"Commercial vendor guide, not a research study."
SevenProvenMethodsBlog,"7 Proven Methods: Intelligent Tutoring Enhances Learning Outcomes","N/A (blog)",,open_web,https://www.numberanalytics.com/blog/7-proven-methods-intelligent-tutoring-learning-outcomes,,exclude,E10,,,,,,,,"Non-academic blog content."
MotivationAssessmentModelITSIEEE,"A model for motivation assessment in intelligent tutoring systems","Not yet confirmed",,open_web/IEEE Xplore,https://ieeexplore.ieee.org/abstract/document/7288774,,exclude,E5,,,,,,,,"Conceptual/modeling paper, not an intervention outcome experiment."
SelfRegulatedLearningInterventionQuasiExp2020,"Applying Self-Regulated Learning Intervention to Enhance Students' Learning: A Quasi-Experimental Approach","Not yet confirmed",2020,open_web/ResearchGate,https://www.researchgate.net/publication/342605423_Applying_Self-Regulated_Learning_Intervention_to_Enhance_Students'_Learning_A_Quasi-Experimental_Approach,,exclude,E2,,,,,,,,"No clear AI-based component evident in title/abstract snippet; verify if reconsideration needed once full abstract is checked."
ChatGPTClassSchadenfreude2024,"ChatGPT in class: motivation, schadenfreude and student usage intentions","Not yet confirmed",2024,open_web/Emerald,https://www.emerald.com/insight/content/doi/10.1108/yc-09-2024-2252/full/html,,exclude,E5,,,,,,,,"Survey-based study on usage intentions, not an experimental comparison."
AIChatbotsAnxietyMentalHealthLiteracyCT,"AI Chatbots for Anxiety Mental Health Literacy","N/A (trial registry)",,open_web/ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07316374,,exclude,E1,,,,,,,,"Mental-health-literacy population/outcome, not a formal-education learning outcome."
AIChatbotsMentalHealthWellbeingReview2025,"Effectiveness of artificial intelligence chatbots on mental health & well-being in college students: a rapid systematic review","Not yet confirmed",2025,open_web/Frontiers,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2025.1621768/full,,exclude,E4,,,,,,,,"Systematic review, but outcome domain is mental health/wellbeing, not learning outcomes - out of scope; not logged to umbrella_review_candidates.csv since topically outside this review's remit."
AskMeAnythingChildrenAttitudesChatbot2025,"Ask Me Anything: Exploring children's attitudes toward an age-tailored AI-powered chatbot","Not yet confirmed",2025,open_web/arXiv,https://arxiv.org/pdf/2502.14217,,exclude,E5,,,,,,,,"Qualitative attitudes exploration, no control group/comparative design evident."
ITSHistoricalSurvey2018,"Intelligent Tutoring Systems: A Comprehensive Historical Survey with Recent Developments","Not yet confirmed",2018,open_web/arXiv,https://arxiv.org/pdf/1812.09628,,exclude,E5,,,,,,,,"Narrative historical survey, not an empirical primary study nor a quantitative meta-analysis."
OrthodonticEducationSystReviewMetaAnalysis,"Integrating Artificial Intelligence into Orthodontic Education: A Systematic Review and Meta-Analysis of Clinical Teaching Application","Not yet confirmed",,open_web/PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12346919/,,exclude,E1,,,,,,,,"Specialized clinical/dental postgraduate education population, outside PK-16 general-education scope; not logged to umbrella (topically tangential)."
EndodonticEducationSystReviewMetaAnalysis,"Artificial Intelligence in Endodontic Education: A Systematic Review with Frequentist and Bayesian Meta-Analysis of Student-Based Evidence","Not yet confirmed",,open_web/PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12650973/,,exclude,E1,,,,,,,,"Specialized clinical/dental education population, outside PK-16 general-education scope; not logged to umbrella (topically tangential)."
RANDCostAnalysisAlgebra2012,"Analysis of Costs in an Algebra I Curriculum Effectiveness Trial","RAND Corporation",2012,open_web/RAND,https://www.rand.org/content/dam/rand/pubs/technical_reports/2012/RAND_TR1171-1.pdf,,exclude,E4,,,,,,,,"Cost analysis companion report to the Pane et al. (2014) RCT, not itself a learning-outcome effect-size report."
ChristensenInstituteBlogCarnegie,"Carnegie's randomized controlled study: take a victory lap, then continue the research cycle","Christensen Institute (blog)",,open_web,https://www.christenseninstitute.org/blog/carnegies-randomized-controlled-study-take-a-victory-lap-then-continue-the-research-cycle/,,exclude,E10,,,,,,,,"Commentary/blog piece discussing the Pane et al. (2014) trial, not itself a primary study."
